temp,feel_temp,humidity,windspeed
14.76,18.94,0.66,0.0
11.48,14.395,0.81,7.0015
12.3,15.909999999999998,0.81,7.0015
18.86,22.725,0.51,19.9995
18.04,21.97,0.62,19.9995
14.76,16.665,0.43,27.9993
9.84,10.605,0.32,26.0027
11.48,13.635,0.36,16.997899999999998
10.66,11.365,0.35,26.0027
9.02,10.605,0.44,19.0012
6.5600000000000005,6.819999999999999,0.55,19.0012
6.5600000000000005,6.819999999999999,0.55,19.0012
7.38,6.0600000000000005,0.34,43.9989
5.74,4.545,0.26,35.0008
4.1000000000000005,3.790000000000001,0.46,26.0027
0.8200000000000001,2.275,0.41,12.998
1.64,3.03,0.45,8.9981
5.74,6.0600000000000005,0.46,16.997899999999998
8.200000000000001,11.365,0.4,7.0015
9.02,11.365,0.47,12.998
8.200000000000001,11.365,0.59,6.0032
9.84,12.88,0.52,6.0032
14.76,16.665,0.34,19.0012
12.3,16.665,0.49,0.0
9.02,13.635,0.75,0.0
9.02,12.12,0.73,7.0015
12.3,15.15,0.56,11.0014
21.32,25.0,0.27,19.0012
16.400000000000002,20.455,0.43,15.0013
14.76,18.18,0.5,7.0015
9.02,11.365,0.87,12.998
16.400000000000002,20.455,0.43,15.0013
22.14,25.76,0.43,8.9981
18.04,21.97,0.38,16.997899999999998
13.94,16.665,0.42,8.9981
12.3,15.15,0.52,8.9981
16.400000000000002,20.455,0.37,19.9995
13.94,15.909999999999998,0.46,15.0013
10.66,12.12,0.56,16.997899999999998
9.02,12.12,0.64,7.0015
9.02,13.635,0.64,0.0
9.02,11.365,0.75,11.0014
8.200000000000001,11.365,0.93,6.0032
9.02,12.12,0.87,7.0015
7.38,9.09,0.93,12.998
17.22,21.21,0.38,19.9995
17.22,21.21,0.38,23.9994
13.12,16.665,0.66,6.0032
8.200000000000001,10.605,0.85,11.0014
8.200000000000001,10.605,0.8,8.9981
12.3,16.665,0.81,0.0
13.94,15.909999999999998,0.87,15.0013
13.94,16.665,0.87,12.998
14.76,17.424999999999997,0.93,16.997899999999998
13.12,15.909999999999998,0.81,12.998
17.22,21.21,0.77,11.0014
18.04,21.97,0.67,12.998
16.400000000000002,20.455,0.76,22.0028
13.12,14.395,0.7,32.9975
9.02,9.85,0.47,26.0027
10.66,10.605,0.33,36.9974
10.66,12.12,0.38,19.0012
6.5600000000000005,9.09,0.47,7.0015
5.74,7.575,0.5,8.9981
6.5600000000000005,11.365,0.47,0.0
9.84,10.605,0.38,19.9995
8.200000000000001,9.85,0.44,16.997899999999998
6.5600000000000005,6.819999999999999,0.47,19.9995
5.74,6.0600000000000005,0.5,19.0012
